tag,flavor_text
test_dummy,- It looks kind of cute.
test_goon,- Don't beat them up too badly.
test_goon2,- Don't need to exert yourself here.
perd_midboss,"- She's either a lunatic, or really good at acting like one."
perd_hunter,"- Can you guys, uh, put the crossbows down...?"
aubrey,"- Fights with poison, though it seems to exacerbate bleed wounds...?"
abno_wolf,"- Today, we hunt wolves."
dal_riata,"- The Azure Blade of Fate, the captain of The Fatality.
- With his heavy defense, perhaps burn damage may wilt him down faster than normal attacks...?"
priam,"- A mob boss with an army in his arsenal. Without them, he's nothing."
jessica_0,- ... It's her.
jessica_9,- Marcy awaits me on the other side.
kiri_9,- Stars are flickering.
emily_9,- The mage of the trio. Get her first.
june_9,"- The damage dealer of the trio. She'll panic when one of them goes down, and..."
lachlan_9,- The tank and healer of the trio. ... I will deal with him later.
marcy,"- I'd love to taste your tea again, but..."